tool,size,t_parse
librdf,10000,0.016444
librdf,10000,0.014945
librdf,10000,0.014515
librdf,10000,0.014520
librdf,20000,0.028126
librdf,20000,0.026382
librdf,20000,0.026409
librdf,20000,0.026398
librdf,40000,0.052690
librdf,40000,0.052704
librdf,40000,0.052993
librdf,40000,0.052762
librdf,80000,0.105559
librdf,80000,0.106176
librdf,80000,0.105654
librdf,80000,0.105959
librdf,100000,0.143734
librdf,100000,0.156603
librdf,100000,0.156712
librdf,100000,0.156573
librdf,1000000,1.549781
librdf,1000000,1.552492
librdf,1000000,1.556900
librdf,1000000,1.555196
librdf,10310000,16.120879
librdf,10310000,16.266690
librdf,10310000,16.262816
librdf,10310000,16.315694
