tool,size,t_parse
n3js,10000,0.06430330700002378
n3js,10000,0.062328047000046356
n3js,10000,0.0593741250000312
n3js,10000,0.05876857399998699
n3js,20000,0.10343154399999184
n3js,20000,0.10036613699997543
n3js,20000,0.10227989599999274
n3js,20000,0.09556892299995524
n3js,40000,0.148156856000016
n3js,40000,0.149470158000011
n3js,40000,0.1485589190000319
n3js,40000,0.14793739899998765
n3js,80000,0.26846180299995465
n3js,80000,0.26112818599998716
n3js,80000,0.26055754499998873
n3js,80000,0.26291127099998995
n3js,100000,0.315811211000022
n3js,100000,0.3109282049999456
n3js,100000,0.30409715099999446
n3js,100000,0.3128077550000162
n3js,1000000,2.6390168399999965
n3js,1000000,2.6280259860000226
n3js,1000000,2.626131753000023
n3js,1000000,3.2341047179999878
n3js,10310000,34.44736311099999
n3js,10310000,31.169994724999995
n3js,10310000,31.337753167000017
n3js,10310000,31.313138455000008
