tool,size,t_parse
sophia,10000,0.031929445
sophia,10000,0.028132204
sophia,10000,0.02715451
sophia,10000,0.026887252
sophia,20000,0.052714153
sophia,20000,0.054075207
sophia,20000,0.05268034
sophia,20000,0.05239366
sophia,40000,0.102620565
sophia,40000,0.102516555
sophia,40000,0.102809062
sophia,40000,0.10267427
sophia,80000,0.226441274
sophia,80000,0.249696408
sophia,80000,0.248753285
sophia,80000,0.250391573
sophia,100000,0.312317878
sophia,100000,0.31356249
sophia,100000,0.318678278
sophia,100000,0.316175223
sophia,1000000,3.13165891
sophia,1000000,3.17112747
sophia,1000000,3.166527521
sophia,1000000,3.154997254
sophia,10310000,32.9344839
sophia,10310000,32.582947475
sophia,10310000,32.830104713
sophia,10310000,33.012916815
