tool,size,t_parse
sophia,10000,0.039962592
sophia,10000,0.040784899
sophia,10000,0.040448158
sophia,10000,0.039705375
sophia,20000,0.071033053
sophia,20000,0.066500461
sophia,20000,0.071774916
sophia,20000,0.069550549
sophia,40000,0.13749737
sophia,40000,0.1286185
sophia,40000,0.126966278
sophia,40000,0.123654461
sophia,80000,0.25340888
sophia,80000,0.250140485
sophia,80000,0.254257893
sophia,80000,0.248178605
sophia,100000,0.316557976
sophia,100000,0.319672989
sophia,100000,0.31340221
sophia,100000,0.313699193
sophia,1000000,3.240930017
sophia,1000000,3.015478241
sophia,1000000,3.023077954
sophia,1000000,3.018143052
sophia,10310000,32.193804098
sophia,10310000,33.300856549
sophia,10310000,33.375016462
sophia,10310000,33.344118664
