tool,size,t_load,m_graph,t_first,t_rest
jena,10000,0.345110679,470064,0.006389425,0.006440853
jena,10000,0.473464834,470064,0.007921892,0.009368039
jena,10000,0.465109478,470064,0.006217245,0.006610184
jena,10000,0.442530453,470064,0.006823438,0.00711938
jena,20000,0.703019579,470064,0.006837803,0.009660636
jena,20000,0.677859064,470064,0.006719173,0.009200138
jena,20000,0.669165579,470064,0.006858003,0.009937781
jena,20000,0.705945447,470064,0.006613499,0.009164206
jena,40000,1.038403692,470064,0.006360007,0.010558935
jena,40000,1.034351717,470064,0.006367067,0.011490622
jena,40000,1.088482633,470064,0.006698199,0.011839348
jena,40000,1.055335254,470064,0.007040771,0.014770021
jena,80000,1.602148663,470064,0.005877921,0.012735289
jena,80000,1.588301581,470064,0.006771126,0.018256896
jena,80000,1.609895881,470064,0.005888193,0.014565113
jena,80000,1.701258608,470064,0.006839832,0.018374407
jena,100000,1.797096972,736336,0.004576661,0.01280102
jena,100000,1.740954632,802904,0.004392,0.01051084
jena,100000,1.885383561,802904,0.004691423,0.011122479
jena,100000,1.923442054,736336,0.004831091,0.02360915
jena,1000000,8.692877171,1069176,0.004275605,0.044436627
jena,1000000,8.679924864,1069176,0.004414594,0.057827747
jena,1000000,8.879744856,1069176,0.004395536,0.052758915
jena,1000000,8.766784364,1069176,0.0065852,0.062010462
jena,10310000,124.029599189,1201280,0.007873009,0.50174631
jena,10310000,128.729307843,1201280,0.006918638,0.815187403
jena,10310000,120.506340395,1201280,0.008066256,0.863827662
jena,10310000,124.419514628,1135744,0.00637185,0.81114797
