tool,size,t_load,m_graph,t_first,t_rest
librdf,10000,0.807374,3828,0.000006,0.001045
librdf,10000,0.556736,3828,0.000005,0.000737
librdf,10000,0.548965,3828,0.000006,0.000833
librdf,10000,0.545282,3828,0.000006,0.000730
librdf,20000,2.777775,7672,0.000007,0.001867
librdf,20000,2.678044,7672,0.000007,0.002044
librdf,20000,2.582883,7672,0.000006,0.001796
librdf,20000,2.742681,7672,0.000007,0.001873
librdf,40000,20.675869,15224,0.000008,0.005135
librdf,40000,20.810467,15224,0.000009,0.004948
librdf,40000,20.880780,15224,0.000008,0.005056
librdf,40000,20.501693,15224,0.000008,0.004983
librdf,80000,126.815186,30396,0.000007,0.011100
librdf,80000,126.305677,30396,0.000008,0.011446
librdf,80000,124.707143,30396,0.000008,0.011167
librdf,80000,121.806836,30396,0.000008,0.011390
librdf,100000,207.119465,37924,0.000009,0.015052
librdf,100000,207.217583,37924,0.000009,0.013691
librdf,100000,205.456176,37924,0.000009,0.013506
librdf,100000,207.727428,37924,0.000009,0.013795
