tool,size,t_load,m_graph,t_first,t_rest
n3js,10000,0.15125420600001235,59296,0.000527996999968309,0.0014168879999779166
n3js,10000,0.14112224900000728,59344,0.0006024759999709204,0.0012510520000359976
n3js,10000,0.14666746100003367,59428,0.0006174110000138171,0.0012858329999726266
n3js,10000,0.14957561599998734,58868,0.0006159019999904558,0.0014288689999957568
n3js,20000,0.21918899300001796,70476,0.0007417349999886937,0.003116219000017736
n3js,20000,0.23213982700003544,69860,0.0007515559999737889,0.003270966000040062
n3js,20000,0.23783440699998756,70464,0.0007510909999837168,0.0026478219999698923
n3js,20000,0.23732693300000393,69972,0.0007308410000405275,0.003262647999974433
n3js,40000,0.375451315000013,95052,0.0009535589999868535,0.0049942460000165735
n3js,40000,0.3816018139999942,95384,0.000942938000021968,0.004928183999960311
n3js,40000,0.37592143300001046,96556,0.0009651539999758824,0.005061323000001721
n3js,40000,0.38099078199994985,97100,0.0009406639999942854,0.005450157000042964
n3js,80000,0.7181137640000088,161956,0.0016185689999838359,0.025475807000009808
n3js,80000,0.738091660999984,160380,0.0016537639999878594,0.02600624700001208
n3js,80000,0.7500170930000022,160852,0.001605007000034675,0.02567382299999008
n3js,80000,0.7271196120000095,162308,0.0016119649999891408,0.0257843859999557
n3js,100000,0.867952295999974,180720,0.001611151000019163,0.02581149299995741
n3js,100000,0.8604103420000174,181564,0.0016649350000079721,0.02531893000000855
n3js,100000,0.8468422110000392,180052,0.0016968420000048354,0.026218272000027354
n3js,100000,0.8669434570000157,181036,0.0016201639999635518,0.026701325999980326
n3js,1000000,8.525307282000023,1284140,0.01345973599998979,0.044056859000003896
n3js,1000000,8.416423603000004,1283108,0.013718124000006356,0.045306837000011
n3js,1000000,8.405650847000011,1281856,0.013565994000004139,0.049459435000026135
n3js,1000000,8.342838048000004,1287920,0.013292432000045665,0.044315609000041147
