tool,size,t_load,m_graph,t_first,t_rest
sophia,10000,0.05251554,4916,0.000001222,0.000008746
sophia,10000,0.049979612,4916,0.000001251,0.000008214
sophia,10000,0.047692308,4916,0.000001272,0.000007471
sophia,10000,0.047109561,4916,0.000001279,0.000008791
sophia,20000,0.093760272,8656,0.000001741,0.000039561
sophia,20000,0.092516354,8656,0.000001267,0.000025273
sophia,20000,0.0935364,8656,0.000001543,0.000037289
sophia,20000,0.093295227,8656,0.000001508,0.00003704
sophia,40000,0.189131412,16488,0.000001683,0.000065721
sophia,40000,0.188710362,16488,0.000001354,0.000064516
sophia,40000,0.189466981,16488,0.000001859,0.000089568
sophia,40000,0.189077247,16488,0.000001382,0.000064418
sophia,80000,0.39473698,31696,0.000001335,0.000137233
sophia,80000,0.387654323,31696,0.000001766,0.000181215
sophia,80000,0.389481999,31696,0.000001555,0.000181
sophia,80000,0.390952035,31696,0.000001694,0.000181198
sophia,100000,0.509845725,41796,0.000001714,0.000170303
sophia,100000,0.512795962,41796,0.000001585,0.000173103
sophia,100000,0.511249439,41796,0.000001723,0.000171027
sophia,100000,0.517085634,41796,0.000001734,0.000171883
sophia,1000000,5.257301759,321364,0.000001893,0.001809142
sophia,1000000,5.245901645,321364,0.000001897,0.001921998
sophia,1000000,5.246175332,321364,0.000001712,0.001875362
sophia,1000000,5.326942883,321364,0.000001826,0.001968373
sophia,10310000,61.406547397,2670060,0.000001874,0.015710611
sophia,10310000,61.371651242,2670060,0.000002335,0.015247305
