tool,size,t_load,m_graph,t_first,t_rest
sophia,10000,0.054334053,4856,0.00000197,0.000020923
sophia,10000,0.0465603,4856,0.000001513,0.000021888
sophia,10000,0.046948694,4856,0.000002335,0.000030789
sophia,10000,0.049566276,4856,0.000002158,0.000033824
sophia,20000,0.088718017,8452,0.000001634,0.000045248
sophia,20000,0.086259693,8452,0.00000143,0.000043522
sophia,20000,0.086360919,8452,0.000001794,0.00004455
sophia,20000,0.086881297,8452,0.000001927,0.000045944
sophia,40000,0.160664063,16176,0.00000184,0.000108529
sophia,40000,0.157567276,16176,0.000001719,0.000102878
sophia,40000,0.155370565,16176,0.000001439,0.000104331
sophia,40000,0.159988804,16176,0.000001772,0.000104619
sophia,80000,0.345182979,31280,0.000001687,0.000219978
sophia,80000,0.343848689,31280,0.000001724,0.000217113
sophia,80000,0.349325868,31280,0.000001682,0.000225378
sophia,80000,0.339741241,31280,0.000001786,0.00022194
sophia,100000,0.453594913,41328,0.000001778,0.000275997
sophia,100000,0.442908186,41328,0.000001622,0.00027829
sophia,100000,0.442432775,41328,0.000001715,0.000274346
sophia,100000,0.443399132,41328,0.000001827,0.000277565
sophia,1000000,4.397327622,316552,0.000001755,0.002580085
sophia,1000000,4.368793708,316552,0.00000182,0.002546837
sophia,1000000,4.331646075,316552,0.000001698,0.002473179
sophia,1000000,4.380245856,316552,0.000002012,0.002480302
sophia,10310000,48.107858429,2613724,0.00000204,0.01926592
sophia,10310000,48.320631484,2613724,0.000002027,0.019098165
sophia,10310000,47.99653502,2613724,0.000001964,0.020731099
sophia,10310000,48.133058244,2613724,0.000002067,0.018880732
