tool,size,t_load,m_graph,t_first,t_rest
sophia,10000,0.067800558,5652,0.000001492,0.000014473
sophia,10000,0.062761992,5652,0.000001339,0.000014813
sophia,10000,0.063730941,5652,0.000001576,0.000014298
sophia,10000,0.066185921,5652,0.000001541,0.000015099
sophia,20000,0.121877406,10132,0.000001419,0.000034852
sophia,20000,0.121198772,10132,0.000001486,0.000032492
sophia,20000,0.115136998,10132,0.000001766,0.000042875
sophia,20000,0.114740482,10132,0.000001513,0.000046074
sophia,40000,0.233860359,18584,0.000001621,0.00007062
sophia,40000,0.2274161,18584,0.000001666,0.000068709
sophia,40000,0.248958849,18584,0.000001675,0.000068126
sophia,40000,0.245361107,18584,0.000001752,0.0000695
sophia,80000,0.478031924,35972,0.000001774,0.000148993
sophia,80000,0.473163329,35972,0.000001772,0.00018395
sophia,80000,0.476432773,35972,0.000001597,0.000138108
sophia,80000,0.471469893,35972,0.000002361,0.000182655
sophia,100000,0.626124339,44060,0.000002064,0.00017557
sophia,100000,0.600360464,44060,0.000001912,0.000184598
sophia,100000,0.61754806,44060,0.000001861,0.000185433
sophia,100000,0.619537072,44060,0.00000195,0.000186368
sophia,1000000,6.924298812,362568,0.000002309,0.001556474
sophia,1000000,6.538500985,362568,0.000001827,0.001656918
sophia,1000000,6.369233804,362568,0.000002117,0.001618552
sophia,1000000,6.273046455,362568,0.000002114,0.001753679
sophia,10310000,97.72387722,2999848,0.000004182,0.065606527
sophia,10310000,67.617307537,2999848,0.000001963,0.015639924
sophia,10310000,67.838643448,2999848,0.000001953,0.015569253
sophia,10310000,67.983388593,2999848,0.000002019,0.015990834
