tool,size,t_load,m_graph,t_first,t_rest
sophia_lg,10000,0.055091152,3452,0.00000111,0.000476025
sophia_lg,10000,0.051033223,3452,0.000001349,0.00052984
sophia_lg,10000,0.049223622,3452,0.000001346,0.000423736
sophia_lg,10000,0.051483885,3452,0.000001579,0.000506436
sophia_lg,20000,0.096590595,5052,0.000001611,0.001024817
sophia_lg,20000,0.095527176,5052,0.000001117,0.001057069
sophia_lg,20000,0.09611488,5052,0.000001341,0.000992208
sophia_lg,20000,0.100152476,5052,0.000001073,0.001024559
sophia_lg,40000,0.193721386,9076,0.000002299,0.002309521
sophia_lg,40000,0.186780836,9076,0.000001149,0.002294257
sophia_lg,40000,0.183562646,9076,0.000001187,0.002176002
sophia_lg,40000,0.191180324,9076,0.000001775,0.002313291
sophia_lg,80000,0.368243482,17196,0.000001463,0.004695583
sophia_lg,80000,0.363732677,17196,0.000001834,0.004630042
sophia_lg,80000,0.365679907,17196,0.000001134,0.004674872
sophia_lg,80000,0.358018169,17196,0.000003109,0.004563712
sophia_lg,100000,0.482063771,25476,0.000002158,0.00588603
sophia_lg,100000,0.478662724,25476,0.000001609,0.006191524
sophia_lg,100000,0.479492896,25476,0.000002128,0.006070287
sophia_lg,100000,0.4781594,25476,0.000001371,0.006133282
sophia_lg,1000000,4.761859937,145248,0.000002745,0.097362796
sophia_lg,1000000,4.755337228,145248,0.0000012,0.096711855
sophia_lg,1000000,4.625570616,145248,0.000001712,0.096881701
sophia_lg,1000000,4.690288018,145248,0.000001636,0.099267472
sophia_lg,10310000,50.50088922,1173572,0.000001717,1.282840104
sophia_lg,10310000,50.083288222,1173572,0.00000164,1.294756853
sophia_lg,10310000,53.793912019,1173572,0.000004995,1.239197145
sophia_lg,10310000,50.761548308,1173572,0.000003116,1.270249432
