tool,size,t_load,m_graph,t_first,t_rest
sophia_lg,10000,0.040692051,3432,0.000001534,0.000624252
sophia_lg,10000,0.042955165,3432,0.000001842,0.000670922
sophia_lg,10000,0.040639949,3432,0.00000157,0.000755469
sophia_lg,10000,0.040913797,3432,0.000001596,0.000607682
sophia_lg,20000,0.07787721,5036,0.000001399,0.00124047
sophia_lg,20000,0.075653274,5036,0.000001714,0.001296832
sophia_lg,20000,0.075341082,5036,0.000001307,0.00114008
sophia_lg,20000,0.076151641,5036,0.000001746,0.001175165
sophia_lg,40000,0.140813722,9084,0.000002267,0.002076936
sophia_lg,40000,0.131260736,9084,0.000001578,0.002120203
sophia_lg,40000,0.135860684,9084,0.000001703,0.002318499
sophia_lg,40000,0.156449397,9084,0.000001432,0.002568321
sophia_lg,80000,0.304627846,17180,0.000002027,0.005380937
sophia_lg,80000,0.306305222,17180,0.000003141,0.005311595
sophia_lg,80000,0.315350225,17180,0.000002527,0.005472735
sophia_lg,80000,0.304009829,17180,0.000001226,0.005286494
sophia_lg,100000,0.39645548,25436,0.000002829,0.007039422
sophia_lg,100000,0.398069935,25436,0.000001854,0.006913905
sophia_lg,100000,0.398606303,25436,0.000005062,0.006856981
sophia_lg,100000,0.491987937,25436,0.000002067,0.008284338
sophia_lg,1000000,4.081573957,144956,0.000002041,0.115314615
sophia_lg,1000000,3.757691738,144956,0.000003082,0.117691452
sophia_lg,1000000,3.742022268,144956,0.000001708,0.114479733
sophia_lg,1000000,3.760810667,144956,0.00000301,0.116151725
sophia_lg,10310000,40.249449252,1163240,0.000002122,1.431998481
sophia_lg,10310000,39.982712029,1163240,0.000002046,1.481586972
sophia_lg,10310000,39.691106233,1163240,0.000003374,1.458249817
sophia_lg,10310000,39.88306386,1163240,0.000003156,1.418848714
