tool,size,t_load,m_graph,t_first,t_rest
sophia_lg,10000,0.038034541,3000,0.00000085,0.00030298
sophia_lg,10000,0.032066175,3000,0.00000086,0.000276169
sophia_lg,10000,0.031071186,3000,0.000000905,0.000281999
sophia_lg,10000,0.031248066,3000,0.000000863,0.000282694
sophia_lg,20000,0.060249541,5024,0.000001327,0.00064944
sophia_lg,20000,0.060688337,5024,0.000001704,0.000669342
sophia_lg,20000,0.060264711,5024,0.000001318,0.000665917
sophia_lg,20000,0.060646635,5024,0.0000014,0.000667493
sophia_lg,40000,0.119268697,9100,0.000001382,0.001637469
sophia_lg,40000,0.120662664,9100,0.000002596,0.001670381
sophia_lg,40000,0.120733967,9100,0.000001483,0.001651852
sophia_lg,40000,0.119554237,9100,0.000002125,0.001641762
sophia_lg,80000,0.239696694,17168,0.000001753,0.00375602
sophia_lg,80000,0.244259872,17168,0.00000411,0.003773774
sophia_lg,80000,0.243769191,17168,0.000001993,0.003778801
sophia_lg,80000,0.2464514,17168,0.000001714,0.00380542
sophia_lg,100000,0.32109589,25452,0.000002577,0.005455856
sophia_lg,100000,0.328440555,25452,0.000002009,0.005634683
sophia_lg,100000,0.324790303,25452,0.000001425,0.005528257
sophia_lg,100000,0.325791531,25452,0.000001283,0.005501872
sophia_lg,1000000,3.377278268,144972,0.000003292,0.094653553
sophia_lg,1000000,3.351556932,144972,0.000003532,0.094955833
sophia_lg,1000000,3.353371798,144972,0.000002019,0.094295382
sophia_lg,1000000,3.365068093,144972,0.000002037,0.094657976
sophia_lg,10310000,38.295822608,1163264,0.00000263,1.245508112
sophia_lg,10310000,38.150669062,1163264,0.000004643,1.254078535
sophia_lg,10310000,38.343282684,1163264,0.000004057,1.243898697
sophia_lg,10310000,38.117567214,1163264,0.000002809,1.237518831
