tool,size,t_load,m_graph,t_first,t_rest
jena,10000,0.268694405,470064,0.003630414,3.9458E-5
jena,10000,0.30773559,470064,0.003458194,4.4792E-5
jena,10000,0.280482334,470064,0.003586319,4.2279E-5
jena,10000,0.285399192,470064,0.004251317,3.7993E-5
jena,20000,0.390622087,470064,0.003586282,3.899E-5
jena,20000,0.417919619,470064,0.003395292,3.7417E-5
jena,20000,0.417754524,470064,0.003536782,4.0731E-5
jena,20000,0.411554686,470064,0.004516614,3.938E-5
jena,40000,0.646558433,470064,0.003520631,4.051E-5
jena,40000,0.64944943,470064,0.003849092,4.1993E-5
jena,40000,0.658773731,470064,0.0037381,4.0528E-5
jena,40000,0.990048749,470064,0.00578657,6.625E-5
jena,80000,1.648232843,470064,0.006072547,6.5623E-5
jena,80000,1.6171744,470064,0.005911191,6.4887E-5
jena,80000,1.615970724,470064,0.007276898,6.9635E-5
jena,80000,1.612369819,470064,0.005821923,7.1138E-5
jena,100000,1.913939953,736336,0.006895568,5.9298E-5
jena,100000,1.934135664,802904,0.005375458,5.9313E-5
jena,100000,1.843476345,736336,0.005315482,6.2779E-5
jena,100000,1.843440978,736336,0.005391288,5.7238E-5
jena,1000000,8.970025867,1069176,0.004042698,4.212E-5
jena,1000000,8.748576136,1069176,0.004823588,4.3188E-5
jena,1000000,8.762192606,1069176,0.005228862,4.1493E-5
jena,1000000,8.65895282,1069176,0.004029515,4.119E-5
jena,10310000,132.185205848,1201280,0.011366181,1.00641E-4
jena,10310000,131.214958977,1201280,0.006203332,7.3356E-5
jena,10310000,129.468380121,1201280,0.021322738,6.601E-5
jena,10310000,131.376687204,1201280,0.009099339,9.9116E-5
