tool,size,t_load,m_graph,t_first,t_rest
librdf,10000,0.486755,3848,0.000004,0.000741
librdf,10000,0.504906,3848,0.000004,0.000836
librdf,10000,0.576636,3848,0.000005,0.000906
librdf,10000,0.620146,3848,0.000004,0.000941
librdf,20000,3.235385,7664,0.000006,0.002043
librdf,20000,3.275841,7664,0.000006,0.002000
librdf,20000,3.099895,7664,0.000007,0.002176
librdf,20000,3.336566,7664,0.000008,0.002301
librdf,40000,20.196269,15204,0.000008,0.005507
librdf,40000,19.893587,15204,0.000007,0.005490
librdf,40000,20.440816,15204,0.000008,0.005493
librdf,40000,20.686887,15204,0.000007,0.005491
librdf,80000,113.281641,30388,0.000008,0.011625
librdf,80000,113.671025,30388,0.000007,0.011609
librdf,80000,114.093795,30388,0.000007,0.011654
librdf,80000,113.698307,30388,0.000007,0.011691
librdf,100000,183.667747,37928,0.000007,0.014778
librdf,100000,189.432997,37928,0.000008,0.014727
librdf,100000,191.011658,37928,0.000008,0.014781
librdf,100000,191.309025,37928,0.000008,0.014841
