tool,size,t_load,m_graph,t_first,t_rest
python,10000,0.4624220929999865,7788,2.954800038423855e-05,3.638199996203184e-05
python,10000,0.44927413599998545,7788,2.8580000162037322e-05,1.6348999906767858e-05
python,10000,0.44554705099972125,7788,3.1631000183551805e-05,2.735699990807916e-05
python,10000,0.44936823999978515,7788,3.2222000299952924e-05,1.7280000065511558e-05
python,20000,0.8939694729997427,17348,2.955900026790914e-05,1.772499990693177e-05
python,20000,0.8891432350001196,17348,2.8703000225505093e-05,1.8228999579150695e-05
python,20000,0.8966911190000246,17348,2.9867000193917193e-05,1.845599990701885e-05
python,20000,0.8957108699996752,17348,3.074400001423783e-05,1.7754000054992503e-05
python,40000,1.7841118090000236,27820,2.6987999717675848e-05,1.670199981163023e-05
python,40000,1.790477914999883,27820,2.830599987646565e-05,1.7254999875149224e-05
python,40000,1.7820304890001353,27820,2.878499981306959e-05,1.7205999938596506e-05
python,40000,1.7764640380000856,27820,2.9490000088117085e-05,1.7130999822256854e-05
python,80000,3.734300491999875,53372,3.252700025768718e-05,2.2233999970922014e-05
python,80000,3.724745763000101,53372,2.942099990832503e-05,2.115300003424636e-05
python,80000,3.6003208550000636,53372,3.016700020452845e-05,2.2249999801715603e-05
python,80000,3.6351252499998736,53372,2.6624999918567482e-05,2.400800030954997e-05
python,100000,4.503862999000376,65296,8.08740001048136e-05,2.026900028795353e-05
python,100000,4.521714616000281,65296,7.873799995650188e-05,1.960600002348656e-05
python,100000,4.4267090180001105,65296,7.977999985087081e-05,2.0280000171624124e-05
python,100000,4.522262567000325,65296,8.008600025277701e-05,2.053099979093531e-05
python,1000000,46.27166700199996,552832,2.945300002465956e-05,1.771100005498738e-05
python,1000000,46.72478574600018,552832,2.9334000373637537e-05,1.8805000308930175e-05
python,1000000,46.25923363700031,552832,2.983800004585646e-05,1.848700003392878e-05
python,1000000,45.918979201000184,552832,2.8557999939948786e-05,1.8869000086851884e-05
python,10310000,475.5326107660003,5733404,2.936100008810172e-05,1.93070000022999e-05
python,10310000,475.7770666010001,5733408,3.110900024694274e-05,2.0151999706286006e-05
python,10310000,475.98353511000005,5733408,2.9322000045794994e-05,1.8742000065685716e-05
python,10310000,475.2539358210006,5733408,2.926099932665238e-05,1.8699000065680593e-05
