tool,size,t_load,m_graph,t_first,t_rest
sophia,10000,0.040051603,4868,0.00000101,0.000000568
sophia,10000,0.034696445,4868,0.000000707,0.000000468
sophia,10000,0.034121744,4868,0.000000881,0.000000558
sophia,10000,0.033611424,4868,0.000000738,0.000000474
sophia,20000,0.066944924,8480,0.000001047,0.000001019
sophia,20000,0.067056586,8480,0.000001067,0.000000885
sophia,20000,0.066516658,8480,0.000000947,0.000000851
sophia,20000,0.066607361,8480,0.000001186,0.000000881
sophia,40000,0.134331767,16188,0.000001533,0.000001036
sophia,40000,0.135443623,16188,0.000001611,0.000001191
sophia,40000,0.135195048,16188,0.000001524,0.000001027
sophia,40000,0.135059104,16188,0.000001637,0.000001026
sophia,80000,0.330781559,31296,0.000001313,0.000001091
sophia,80000,0.286234586,31296,0.000001682,0.000001087
sophia,80000,0.293922816,31296,0.000001552,0.000000874
sophia,80000,0.287348988,31296,0.00000182,0.00000101
sophia,100000,0.393196305,41348,0.000002334,0.000001288
sophia,100000,0.383866434,41348,0.000001891,0.000001187
sophia,100000,0.384946432,41348,0.000002473,0.000001147
sophia,100000,0.385945464,41348,0.000001915,0.000001679
sophia,1000000,4.352727055,316568,0.00000202,0.000001349
sophia,1000000,4.122511997,316568,0.000002165,0.000001328
sophia,1000000,4.121343151,316568,0.000001864,0.00000143
sophia,1000000,4.114038001,316568,0.000002249,0.000001473
sophia,10310000,49.837249692,2613696,0.000002137,0.000001923
sophia,10310000,48.85461649,2613696,0.0000021,0.000001692
sophia,10310000,48.464579392,2613696,0.000001676,0.000002073
sophia,10310000,48.514213035,2613696,0.000002205,0.000001495
