tool,size,t_load,m_graph,t_first,t_rest
sophia_lg,10000,0.036813513,3000,0.000042515,0.000078906
sophia_lg,10000,0.031802045,3000,0.000022427,0.000102554
sophia_lg,10000,0.031509076,3000,0.00000872,0.000120705
sophia_lg,10000,0.031433264,3000,0.000037449,0.000085221
sophia_lg,20000,0.061236244,5024,0.00011137,0.000174309
sophia_lg,20000,0.061052099,5024,0.000026484,0.00047918
sophia_lg,20000,0.060562945,5024,0.000031659,0.000295251
sophia_lg,20000,0.060790747,5024,0.000078777,0.000244168
sophia_lg,40000,0.119978463,9100,0.000375899,0.00047383
sophia_lg,40000,0.119800197,9100,0.000552143,0.000257059
sophia_lg,40000,0.120679037,9100,0.000260836,0.000566391
sophia_lg,40000,0.119935544,9100,0.000213561,0.000613792
sophia_lg,80000,0.241004908,17168,0.000534164,0.002075441
sophia_lg,80000,0.242694096,17168,0.00005633,0.001950689
sophia_lg,80000,0.243522543,17168,0.000507314,0.001528338
sophia_lg,80000,0.245033311,17168,0.000181867,0.001936519
sophia_lg,100000,0.323190198,25452,0.001035109,0.001891992
sophia_lg,100000,0.325848316,25452,0.000757097,0.00219013
sophia_lg,100000,0.32440032,25452,0.000226215,0.002731715
sophia_lg,100000,0.32584149,25452,0.000288616,0.002695718
sophia_lg,1000000,3.284304373,144972,0.004295904,0.05625173
sophia_lg,1000000,3.305345264,144972,0.007383432,0.052896418
sophia_lg,1000000,3.730840705,144972,0.001263294,0.059020491
sophia_lg,1000000,3.844252277,144972,0.003027136,0.057336705
sophia_lg,10310000,40.418453291,1163264,0.068346083,0.764753207
sophia_lg,10310000,40.298853032,1163264,0.055298026,1.259298596
sophia_lg,10310000,40.273049379,1163264,0.010877787,0.820832943
sophia_lg,10310000,40.218192933,1163264,0.035466064,0.854458568
